Run,ProfileRelativeTime_s,AbsoluteElapsedTime_s,Phase,Error_mm,CartesianLinearLimited,CartesianAngularLimited,AcceptedToIKSigned_mm,IKToCommandSigned_mm,CommandToMeasuredSigned_mm,SignedSum_mm,DecompositionResidual_um
Run 1,7.01283249599999,9.53006434299999,origin-hold,21.402639189407,1,0,-0.00440573169894863,40.9022561620697,-19.4952112409637,21.402639189407,6.93889390390723e-12
Run 2,2.28617049299999,4.81122850099996,hold,13.6470407233618,1,0,0.00440848892955166,3.7210732674573,9.92155896697495,13.6470407233618,1.73472347597681e-12
