Metric,Run1,Run2,Run2MinusRun1,PercentChange_vs_Run1
Samples,991,992,1,0.100908173562059
Duration_s,9.99113691100001,9.99656406500003,0.00542715400001725,0.0543196840195642
AcceptedPositionMean_mm,9.67888647187378,5.91655549949162,-3.76233097238215,-38.8715270430669
AcceptedPositionRMS_mm,12.0594437708313,7.2291874642087,-4.83025630662261,-40.0537238566986
AcceptedPositionP95_mm,20.6660762265232,13.3555083967937,-7.31056782972955,-35.3747259498977
AcceptedPositionMax_mm,21.402639189407,13.6470407233618,-7.75559846604518,-36.2366453847605
AcceptedPositionFinal_mm,17.9035709345703,12.5351748280776,-5.36839610649269,-29.9850578753916
Within2mm_pct,7.76992936427851,5.14112903225806,-2.62880033202044,-33.8330016757436
AcceptedOrientationMean_deg,1.16891686699948,0.731456825133308,-0.437460041866177,-37.4243929757898
AcceptedOrientationRMS_deg,1.52252450423053,0.873450460015636,-0.649074044214893,-42.6314349891485
AcceptedOrientationMax_deg,2.71036065953843,1.66443244885197,-1.04592821068646,-38.5900011869482
AcceptedOrientationFinal_deg,2.2974514447093,1.31506089138746,-0.98239055332184,-42.7600137353998
