Run,Phase,Samples,Duration_s,AcceptedPositionMean_mm,AcceptedPositionRMS_mm,AcceptedPositionP95_mm,AcceptedPositionMax_mm,AcceptedPositionFinal_mm,Within2mm_pct,LivePositionMean_mm,LivePositionRMS_mm,LivePositionMax_mm,LivePositionFinal_mm,AcceptedOrientationMean_deg,AcceptedOrientationRMS_deg,AcceptedOrientationMax_deg,AcceptedOrientationFinal_deg,MaximumErrorTime_s,MaximumErrorPhase,MaximumErrorLinearLimited
Run 1,profile-only,991,9.99113691100001,9.67888647187378,12.0594437708313,20.6660762265232,21.402639189407,17.9035709345703,7.76992936427851,8.8756424867842,11.0311307163306,19.6303105930393,16.1466340672151,1.16891686699948,1.52252450423053,2.71036065953843,2.2974514447093,7.01283249599999,origin-hold,1
Run 1,ramp,198,1.98862687900001,3.47610616132001,4.17463200058351,8.06313866997514,9.06650501051974,8.14574014923658,38.8888888888889,4.17667096363785,4.68127291001927,7.69193762052002,6.66954378792021,0.236855835308927,0.468433959637941,1.49094815014105,1.28716162590203,1.95844355599999,ramp,0
Run 1,hold,297,2.98408754099998,5.56036056449724,5.59401016349338,6.53871343525695,8.49470364607593,5.09993760594086,0,3.97971287175556,4.03296422340744,6.98031185076451,3.46276363113369,0.754577330911568,0.772450157122176,1.31890722688637,0.607958947623845,0.0201211069999943,hold,0
Run 1,return,198,1.989810358,6.328862316557,7.26759677332165,16.4238764454466,20.8887507335659,20.8887507335659,0,6.640108377409,7.38029884971448,19.151204560332,19.151204560332,0.645764695579007,0.834893890166097,2.64502961376583,2.64502961376583,1.989810358,return,1
Run 1,origin-hold,298,2.99842537700002,20.1307572058778,20.1436697412482,20.8887507335659,21.402639189407,17.9035709345703,0,18.3626331273975,18.3767586813444,19.6303105930393,16.1466340672151,2.54875262684545,2.55052417447278,2.71036065953843,2.2974514447093,0.0201209619999929,origin-hold,1
Run 2,profile-only,992,9.99656406500003,5.91655549949162,7.2291874642087,13.3555083967937,13.6470407233618,12.5351748280776,5.14112903225806,6.07631407480816,7.08542076851288,13.0731581690947,12.5350803351793,0.731456825133308,0.873450460015636,1.66443244885197,1.31506089138746,2.28617049299999,hold,1
Run 2,ramp,198,1.98435834700001,3.92223696916815,4.70148235407005,8.28731182332569,8.55245097668693,1.80211093150392,20.7070707070707,4.9145159730588,5.56716058481911,9.5571252648993,3.36895494717491,0.0570597051181848,0.0779619343971634,0.411313328271006,0.411313328271006,1.77312228699998,ramp,0
Run 2,hold,298,2.99287904699997,6.60900664116394,8.36813226514415,13.3555083967937,13.6470407233618,2.31879295604053,1.00671140939597,6.33268164875147,7.47869316689727,11.9542998763202,3.27154160200519,0.987439648447324,1.09652595559479,1.66443244885197,0.598989796992225,0.291749394999954,hold,1
Run 2,return,198,1.99003261600001,3.7058161337574,3.95204491829165,7.20006007409946,7.96536116174987,3.42960385728814,0,3.92981643735181,4.1991489568491,8.56346604260952,5.22915523852383,0.728644379303506,0.737169552714082,1.03793754678182,0.674582984739049,1.71838297400001,return,0
Run 2,origin-hold,298,2.99908980500004,8.01806900016638,8.88146178280314,12.7825918918721,13.0732525028104,12.5351748280776,2.3489932885906,8.01807588463241,8.88143276556047,13.0731581690947,12.5350803351793,0.925432035501491,0.985985622266057,1.40125100094504,1.31506089138746,1.92900455200004,origin-hold,1
