Phase,Metric,Run1,Run2,Run2MinusRun1,PercentChange_vs_Run1
ramp,AcceptedPositionMean_mm,3.47610616132001,3.92223696916815,0.44613080784814,12.8342112451113
ramp,AcceptedPositionRMS_mm,4.17463200058351,4.70148235407005,0.52685035348654,12.6202825401832
ramp,AcceptedPositionP95_mm,8.06313866997514,8.28731182332569,0.224173153350549,2.78022197714776
ramp,AcceptedPositionMax_mm,9.06650501051974,8.55245097668693,-0.514054033832808,-5.66981469967048
ramp,AcceptedPositionFinal_mm,8.14574014923658,1.80211093150392,-6.34362921773266,-77.8766459709273
ramp,Within2mm_pct,38.8888888888889,20.7070707070707,-18.1818181818182,-46.7532467532468
ramp,AcceptedOrientationMean_deg,0.236855835308927,0.0570597051181848,-0.179796130190742,-75.9095210621419
ramp,AcceptedOrientationRMS_deg,0.468433959637941,0.0779619343971634,-0.390472025240778,-83.3568995600957
ramp,AcceptedOrientationMax_deg,1.49094815014105,0.411313328271006,-1.07963482187004,-72.4126336497957
ramp,AcceptedOrientationFinal_deg,1.28716162590203,0.411313328271006,-0.875848297631024,-68.0449354615617
hold,AcceptedPositionMean_mm,5.56036056449724,6.60900664116394,1.0486460766667,18.8593179255726
hold,AcceptedPositionRMS_mm,5.59401016349338,8.36813226514415,2.77412210165077,49.5909378169304
hold,AcceptedPositionP95_mm,6.53871343525695,13.3555083967937,6.81679496153675,104.25284773577
hold,AcceptedPositionMax_mm,8.49470364607593,13.6470407233618,5.15233707728587,60.6535235595412
hold,AcceptedPositionFinal_mm,5.09993760594086,2.31879295604053,-2.78114464990033,-54.5329151999939
hold,Within2mm_pct,0,1.00671140939597,1.00671140939597,Inf
hold,AcceptedOrientationMean_deg,0.754577330911568,0.987439648447324,0.232862317535756,30.8599672951275
hold,AcceptedOrientationRMS_deg,0.772450157122176,1.09652595559479,0.324075798472614,41.9542666260803
hold,AcceptedOrientationMax_deg,1.31890722688637,1.66443244885197,0.3455252219656,26.1978412826885
hold,AcceptedOrientationFinal_deg,0.607958947623845,0.598989796992225,-0.00896915063161996,-1.47528886065007
return,AcceptedPositionMean_mm,6.328862316557,3.7058161337574,-2.6230461827996,-41.445777323002
return,AcceptedPositionRMS_mm,7.26759677332165,3.95204491829165,-3.31555185503,-45.6210210671144
return,AcceptedPositionP95_mm,16.4238764454466,7.20006007409946,-9.22381637134714,-56.1610190017252
return,AcceptedPositionMax_mm,20.8887507335659,7.96536116174987,-12.923389571816,-61.8676996851208
return,AcceptedPositionFinal_mm,20.8887507335659,3.42960385728814,-17.4591468762778,-83.5815750734334
return,Within2mm_pct,0,0,0,NaN
return,AcceptedOrientationMean_deg,0.645764695579007,0.728644379303506,0.0828796837244991,12.8343472927375
return,AcceptedOrientationRMS_deg,0.834893890166097,0.737169552714082,-0.097724337452015,-11.7050009112623
return,AcceptedOrientationMax_deg,2.64502961376583,1.03793754678182,-1.60709206698401,-60.7589441955597
return,AcceptedOrientationFinal_deg,2.64502961376583,0.674582984739049,-1.97044662902678,-74.4962029450166
origin-hold,AcceptedPositionMean_mm,20.1307572058778,8.01806900016638,-12.1126882057114,-60.1700575981054
origin-hold,AcceptedPositionRMS_mm,20.1436697412482,8.88146178280314,-11.2622079584451,-55.9094152312447
origin-hold,AcceptedPositionP95_mm,20.8887507335659,12.7825918918721,-8.1061588416938,-38.8063362193705
origin-hold,AcceptedPositionMax_mm,21.402639189407,13.0732525028104,-8.3293866865966,-38.9175681227161
origin-hold,AcceptedPositionFinal_mm,17.9035709345703,12.5351748280776,-5.3683961064927,-29.9850578753916
origin-hold,Within2mm_pct,0,2.3489932885906,2.3489932885906,Inf
origin-hold,AcceptedOrientationMean_deg,2.54875262684545,0.925432035501491,-1.62332059134396,-63.6907863966821
origin-hold,AcceptedOrientationRMS_deg,2.55052417447278,0.985985622266057,-1.56453855220672,-61.3418436831766
origin-hold,AcceptedOrientationMax_deg,2.71036065953843,1.40125100094504,-1.30910965859339,-48.3002014505453
origin-hold,AcceptedOrientationFinal_deg,2.2974514447093,1.31506089138746,-0.98239055332184,-42.7600137353999
